artistID,artist_name
51,Duran Duran
55,Kylie Minogue
56,Daft Punk
59,New Order
65,Coldplay
67,Madonna
72,Depeche Mode
81,Portishead
88,Gorillaz
89,Lady Gaga
154,Radiohead
157,Michael Jackson
159,The Cure
161,Enrique Iglesias
163,Pink Floyd
173,Placebo
182,Keane
190,Muse
198,System of a Down
199,Arcade Fire
203,Blur
207,Arctic Monkeys
209,My Chemical Romance
212,Bob Dylan
217,Death Cab for Cutie
220,Red Hot Chili Peppers
225,Interpol
226,Queens of the Stone Age
227,The Beatles
228,Kings of Leon
229,The Killers
230,Green Day
233,Nine Inch Nails
234,Nirvana
238,Massive Attack
257,Mariah Carey
288,Rihanna
289,Britney Spears
291,Kelly Clarkson
292,Christina Aguilera
293,Ashlee Simpson
294,Leona Lewis
295,Beyoncé
298,Lily Allen
299,Jennifer Lopez
300,Katy Perry
301,Alicia Keys
302,P!nk
306,Black Eyed Peas
310,Nelly Furtado
314,Ciara
316,Alanis Morissette
318,Hilary Duff
324,Cobra Starship
325,Ashley Tisdale
328,David Guetta
329,Justin Timberlake
331,Kanye West
333,Avril Lavigne
344,Taylor Swift
349,The Pussycat Dolls
352,Cheryl Cole
377,Linkin Park
378,Evanescence
412,blink-182
418,Sigur Rós
424,The Strokes
425,Yeah Yeah Yeahs
429,The Smiths
436,The Smashing Pumpkins
441,Joy Division
461,Miley Cyrus
464,3OH!3
466,Ke$ha
475,Eminem
486,30 Seconds to Mars
498,Paramore
511,U2
523,Lindsay Lohan
525,Gwen Stefani
528,Pixie Lott
533,Oasis
538,Maroon 5
540,Fall Out Boy
543,Nicole Scherzinger
544,Adam Lambert
599,David Bowie
614,Pearl Jam
679,Glee Cast
680,The Veronicas
681,Demi Lovato
686,Selena Gomez & the Scene
689,Florence + the Machine
701,Shakira
704,The Pretty Reckless
706,AC/DC
707,Metallica
709,The White Stripes
735,The Rolling Stones
757,Crystal Castles
7,Marilyn Manson
868,The Doors
903,Amy Winehouse
907,Timbaland
917,Iron Maiden
918,Megadeth
930,Nightwish
959,Queen
966,Nickelback
972,t.A.T.u.
982,Foo Fighters
1044,Slipknot
1048,The Kooks
1090,Franz Ferdinand
1098,Björk
1104,Rammstein
1246,Panic! At the Disco
1249,Guns N' Roses
1369,Black Sabbath
1375,Snow Patrol
1400,MGMT
1412,Led Zeppelin
1513,Ramones
1672,Avenged Sevenfold
1934,Adele
